Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-06,Gujarat,Elephant Yam,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,Gujarat,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-06,Gujarat,French Beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-06,Gujarat,Garlic,168,193 - 213,202 - 277,1kg,N/A
2024-05-06,Gujarat,Ginger,110,127 - 140,132 - 182,1kg,N/A
2024-05-06,Gujarat,Onion Green,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Gujarat,Green Peas,46,53 - 58,55 - 76,1kg,N/A
2024-05-06,Gujarat,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-06,Gujarat,Lemon (Lime),71,82 - 90,85 - 117,1kg,N/A
2024-05-06,Gujarat,Mango Raw,32,37 - 41,38 - 53,1kg,N/A
2024-05-06,Gujarat,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-06,Gujarat,Mushroom,81,93 - 103,97 - 134,1kg,N/A
2024-05-06,Gujarat,Mustard Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-06,Gujarat,Ladies Finger,37,43 - 47,44 - 61,1kg,N/A
2024-05-06,Gujarat,Pumpkin,18,21 - 23,22 - 30,1kg,N/A
2024-05-06,Gujarat,Radish,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,Gujarat,Ridge Gourd,29,33 - 37,35 - 48,1kg,N/A
2024-05-06,Gujarat,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,N/A
2024-05-06,Gujarat,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-06,Gujarat,Sorrel Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-06,Gujarat,Spinach,11,13 - 14,13 - 18,1kg,N/A
2024-05-06,Gujarat,Sweet Potato,40,46 - 51,48 - 66,1kg,N/A
2024-05-07,Gujarat,Onion Big,26,30 - 33,31 - 43,1kg,N/A
